Code,Name,Zone,Latitude,Longitude,Distance
MTA2,MOUTA,mai/01,41.21130561,-8.604216422,6.483912811
RMAR2,R.MARINHA,VNG4,41.10100693,-8.653978342,6.487796827
RTE4,RIO TINTO (ESTAÇÃO),mai/04,41.18455429,-8.558150427,6.491728807
MTA3,MOUTA,mai/01,41.21135359,-8.604056142,6.492685696
MV3,MONTE DA VIRGEM,VNG2,41.10357084,-8.58881406,6.494889562
LMBG1,LOMBA (GATÕES),MTS1,41.20733496,-8.660151948,6.498023933
CVN2,CAVADA NOVA,GDM1,41.17389962,-8.551574989,6.502822431
LOTA2,LOTA,MTS1,41.18307584,-8.693515153,6.508772081
LMBG2,LOMBA (GATÕES),MTS1,41.2074782,-8.660331937,6.519031925
CN1,CASAIS NOVOS,mai/04,41.18961787,-8.562104706,6.521782176
PCRR1,PONTE CARRO,MTS1,41.20692196,-8.661853528,6.522875131
RBO2,RIBEIRO,MTS1,41.20482874,-8.666676975,6.524210617
PCRR2,PONTE CARRO,MTS1,41.20693025,-8.662008586,6.529806075
CN2,CASAIS NOVOS,mai/04,41.18952263,-8.561815409,6.535200924
INFS2,INFANTE SANTO,GDM1,41.16740887,-8.548769234,6.538624779
RTE3,RIO TINTO (ESTAÇÃO),mai/04,41.1845839,-8.557447436,6.544283614
GNDV2,GONDIVINHO,mai/01,41.21112082,-8.64948399,6.546301177
LMB2,LOMBA,MTS1,41.20666376,-8.663174824,6.550541273
LOTA1,LOTA,MTS1,41.18353329,-8.693768567,6.551744524
LMB1,LOMBA,MTS1,41.20661682,-8.663591726,6.563005636
GNOR2,GONDIVAI (NORTE),mai/01,41.21379604,-8.634854261,6.569596954
CORM2,CORIM,mai/04,41.20043798,-8.574704768,6.570832945
GNDV1,GONDIVINHO,mai/01,41.21139975,-8.649347498,6.572259144
OLB2,OLIVEIRA LOBO,GDM1,41.16308339,-8.547252515,6.581670741
CPNH2,CAMPOLINHO,VNG4,41.0961445,-8.631682465,6.585567104
VALE,VALADARES (ESCOLAS),VNG4,41.09594078,-8.620397534,6.597640438
PMS1,PRAIA MADALENA SUL,VNG4,41.10121356,-8.658038987,6.600951025
OLB1,OLIVEIRA LOBO,GDM1,41.1629314,-8.546953694,6.604239791
CORM1,CORIM,mai/04,41.20061873,-8.574364661,6.604527208
GNOR1,GONDIVAI (NORTE),mai/01,41.21412959,-8.634761426,6.605454633
ABL1,ABELHEIRA,MTS1,41.20623829,-8.665615447,6.61145172
ABL2,ABELHEIRA,MTS1,41.20617843,-8.665816146,6.61435967
RTE2,RIO TINTO (ESTAÇÃO),mai/04,41.18484436,-8.556644075,6.616996604
PMS2,PRAIA MADALENA SUL,VNG4,41.10106895,-8.658156866,6.619685234
ASOT1,ALTO DE SOUTELO,GDM1,41.16674112,-8.547582953,6.620988046
PTLH,PORTELINHA,GDM1,41.16127644,-8.546454774,6.624337704
DPA1,DR.PORFÍRIO ANDRADE,mai/04,41.18678065,-8.557999075,6.630460245
RTE1,RIO TINTO (ESTAÇÃO),mai/04,41.18496889,-8.55639413,6.642031576
JP2,JOSÉ PORTUGAL,VNG4,41.09578279,-8.634107789,6.645474228
URBS1,URB.SOUTELO,GDM1,41.16897513,-8.547901792,6.647648058
CPNH1,CAMPOLINHO,VNG4,41.09552638,-8.630951744,6.649322798
DPA2,DR.PORFÍRIO ANDRADE,mai/04,41.18756706,-8.55836608,6.651362839
URBS2,URB.SOUTELO,GDM1,41.16908298,-8.547881249,6.652095688
PMAI1,1º DE MAIO,mai/04,41.21067129,-8.595510958,6.652110953
SALM2,SALGUEIRO MAIA,VNG2,41.10172253,-8.589432128,6.65370393
MATM3,MATOSINHOS MERCADO,MTS1,41.18739832,-8.692144645,6.654081963
PMAI2,1º DE MAIO,mai/04,41.21076426,-8.595627896,6.658063661
TPEN,TV. PENEDO,VNG4,41.09525762,-8.6243559,6.661857044
SP5,S. PEDRO,MTS1,41.185232,-8.694048518,6.664942878
ASOT3,ALTO DE SOUTELO,GDM1,41.16609214,-8.546866403,6.666342987
AS2,ANTÓNIO SANTOS,mai/04,41.2063283,-8.583543133,6.670641679
SALM1,SALGUEIRO MAIA,VNG2,41.10147075,-8.589347057,6.681919036
AS1,ANTÓNIO SANTOS,mai/04,41.20641008,-8.583352938,6.686713265
JP1,JOSÉ PORTUGAL,VNG4,41.09536008,-8.633997449,6.691151957
JP3,JOSÉ PORTUGAL,VNG4,41.09541705,-8.63511485,6.695861073
E109,ESTR.NACIONAL 109,VNG4,41.09488489,-8.62937581,6.71223523
ASOT2,ALTO DE SOUTELO,GDM1,41.16635544,-8.546260396,6.721576398
MATM2,MATOSINHOS (MERCADO),MTS1,41.18762245,-8.693092224,6.734357828
SSB1,S. SEBASTIÃO,GDM1,41.1727959,-8.548052659,6.746168867
MATM1,MATOSINHOS MERCADO,MTS1,41.18755887,-8.693319603,6.746659012
MED2,MEDANCELHE,mai/04,41.18904724,-8.558167645,6.755662672
ESRT1,ESC.SEC.de RIO TINTO,mai/04,41.17540531,-8.549023638,6.759306403
SSB2,S. SEBASTIÃO,GDM1,41.17291351,-8.547898492,6.762317731
RFER2,R.FERROVIÁRIO,MTS1,41.20944991,-8.661600123,6.76255685
RFER1,R.FERROVIÁRIO,MTS1,41.20950766,-8.661516706,6.765146382
QTC2,Q.TA DA CONCEICÃO,MTS2,41.19469055,-8.686748478,6.773719234
ESP2,ESPOSADE,mai/01,41.2131706,-8.649948967,6.775103552
MATM6,MATOSINHOS MERCADO,MTS1,41.18729396,-8.693945667,6.775458241
ESP1,ESPOSADE,mai/01,41.21325252,-8.649814144,6.780334347
SEMR,SEMINÁRIO,VNG4,41.09420376,-8.622917235,6.781309096
HIPD,HIPÓDROMO,MTS2,41.1975233,-8.683465873,6.781840201
CCOR,CASA DO CORIM,mai/04,41.2019509,-8.573147205,6.783469515
MED1,MEDANCELHE,mai/04,41.18971291,-8.558338833,6.785379001
QTC1,Q.TA DA CONCEICÃO,MTS2,41.19500078,-8.686719733,6.794317869
SP1,S. PEDRO,MTS1,41.18551892,-8.695688279,6.799796654
ARCO1,ARCO,mai/01,41.21374902,-8.601543426,6.807436566
RTES2,RIO TINTO (ESC. SEC.),mai/04,41.17679021,-8.549019377,6.81239698
